year,stage,input,output,capacity
2091,proc,clay,loh,3991.335797
2091,proc,clay,lce,2246.58876
2092,proc,brine,loh,100
2092,proc,brine,lce,100
2092,proc,spod,loh,100
2092,proc,spod,lce,100
2092,proc,clay,loh,4033.692399
2092,proc,clay,lce,2269.954054
2093,proc,brine,loh,100
2093,proc,brine,lce,100
2093,proc,spod,loh,100
2093,proc,spod,lce,100
2093,proc,clay,loh,4076.202101
2093,proc,clay,lce,2293.403803
2094,proc,brine,loh,100
2094,proc,brine,lce,100
2094,proc,spod,loh,100
2094,proc,spod,lce,100
2094,proc,clay,loh,4118.887097
2094,proc,clay,lce,2316.950251
2095,proc,brine,loh,100
2095,proc,brine,lce,100
2095,proc,spod,loh,100
2095,proc,spod,lce,100
2095,proc,clay,loh,4161.768319
2095,proc,clay,lce,2340.604943
2096,proc,brine,loh,100
2096,proc,brine,lce,100
2096,proc,spod,loh,100
2096,proc,spod,lce,100
2096,proc,clay,loh,4204.865515
2096,proc,clay,lce,2364.378773
2097,proc,brine,loh,100
2097,proc,brine,lce,100
2097,proc,spod,loh,100
2097,proc,spod,lce,100
2097,proc,clay,loh,4248.197326
2097,proc,clay,lce,2388.282024
2098,proc,brine,loh,100
2098,proc,brine,lce,100
2098,proc,spod,loh,100
2098,proc,spod,lce,100
2098,proc,clay,loh,4291.781357
2098,proc,clay,lce,2412.324409
2099,proc,brine,loh,100
2099,proc,brine,lce,100
2099,proc,spod,loh,100
2099,proc,spod,lce,100
2099,proc,clay,loh,4335.634253
2099,proc,clay,lce,2436.515108
2100,proc,brine,loh,100
2100,proc,brine,lce,100
2100,proc,spod,loh,100
2100,proc,spod,lce,100
2100,proc,clay,loh,4379.771763
2100,proc,clay,lce,2460.86281
